timestamp,team1_name1,team1_name2,team1_name3,score1,team2_name1,team2_name2,team2_name3,score2
2026-01-11T00:00:13.178000+00:00,kami,eri,pikeman,5,shan,hawk,popop,2
2026-01-13T22:58:08.102000+00:00,gentle,kaiferno,mai,5,pikeman,shan,akil,3
2026-01-13T22:58:08.102000+00:00,gentle,kaiferno,mai,4,pikeman,shan,akil,5
2026-01-13T23:10:52.523000+00:00,gentle,eri,mai,5,pikeman,wraith,kaiferno,2
2026-01-13T23:10:52.523000+00:00,gentle,eri,mai,5,pikeman,wraith,kaiferno,4
2026-01-13T23:10:52.523000+00:00,gentle,eri,mai,4,pikeman,wraith,kaiferno,0
2026-01-13T23:40:03.695000+00:00,shan,popop,akil,5,gentle,pikeman,kami,4
2026-01-13T23:43:05.591000+00:00,shan,popop,pikeman,1,gentle,toph,kami,5
2026-01-13T23:43:05.591000+00:00,shan,popop,pikeman,5,gentle,toph,kami,3
2026-01-13T23:43:05.591000+00:00,shan,popop,pikeman,2,gentle,toph,kami,5
2026-01-14T00:07:32.496000+00:00,shan,popop,kami,2,pikeman,toph,stella,5
2026-01-14T01:52:46.279000+00:00,shan,popop,mai,5,kami,aster,jinsye,0
2026-01-14T01:52:46.279000+00:00,shan,popop,mai,5,kami,aster,jinsye,4
2026-01-14T02:04:34.021000+00:00,popop,anon,mai,5,kami,aster,stella,3
2026-01-14T02:08:33.828000+00:00,pikeman,aster,anon,5,kami,popop,stella,1
2026-01-14T02:08:33.828000+00:00,pikeman,aster,anon,5,kami,popop,stella,2
2026-01-14T02:08:33.828000+00:00,pikeman,aster,anon,5,kami,popop,stella,2
2026-01-14T23:35:15.193000+00:00,akil,shan,hawk,1,pikeman,eri,,5
2026-01-14T23:57:56.885000+00:00,shan,hawk,akil,5,pikeman,eri,saber,4
2026-01-15T16:42:41.513000+00:00,kami,rxob,ash,3,baps,aster,nae,5
2026-01-15T16:42:41.513000+00:00,kami,rxob,ash,2,baps,aster,nae,5
2026-01-15T16:50:32.420000+00:00,baps,ash,hawk,0,kami,aster,rxob,5
2026-01-15T16:50:32.420000+00:00,baps,ash,hawk,5,kami,aster,rxob,3
2026-01-15T16:50:32.420000+00:00,baps,ash,hawk,0,kami,aster,rxob,5
2026-01-15T17:11:09.816000+00:00,kami,wraith,ash,5,baps,aster,rxob,3
2026-01-15T17:16:21.064000+00:00,kami,wraith,ash,3,rxob,aster,hawk,5
2026-01-15T17:16:21.064000+00:00,kami,wraith,ash,5,rxob,aster,hawk,4
2026-01-16T03:57:43.798000+00:00,shan,aster,jib,4,toph,kami,anon,5
2026-01-16T04:09:09.446000+00:00,shan,jib,anon,3,toph,jinsye,kami,5
2026-01-16T04:19:34.784000+00:00,jib,kaiferno,anon,1,shan,akil,toph,5
2026-01-16T04:19:34.784000+00:00,jib,kaiferno,anon,3,shan,akil,toph,5
2026-01-16T04:31:54.293000+00:00,shan,kaiferno,anon,2,jib,akil,toph,5
2026-01-16T04:31:54.293000+00:00,shan,kaiferno,anon,5,jib,akil,toph,4
2026-01-16T04:43:21.833000+00:00,shan,jib,kaiferno,5,kami,jinsye,toph,0
2026-01-16T04:43:21.833000+00:00,shan,jib,kaiferno,3,kami,jinsye,toph,5
2026-01-16T05:25:59.475000+00:00,shan,jinsye,akil,1,jib,toph,anon,5
2026-01-16T05:25:59.475000+00:00,shan,jinsye,akil,0,jib,toph,anon,5
2026-01-16T05:34:00.175000+00:00,shan,kaiferno,jinsye,1,jib,toph,anon,5
2026-01-16T05:34:00.175000+00:00,shan,kaiferno,jinsye,4,jib,toph,anon,5
2026-01-16T05:44:13.482000+00:00,shan,kaiferno,hawk,5,jib,jinsye,anon,4
2026-01-16T05:44:13.482000+00:00,shan,kaiferno,hawk,4,jib,jinsye,anon,5
2026-01-17T01:52:31.873000+00:00,eri,rxob,mai,4,kami,anon,stella,5
2026-01-17T01:58:02.529000+00:00,shan,anon,mai,5,akil,eri,rxob,4
2026-01-17T01:58:02.529000+00:00,shan,anon,mai,2,akil,eri,rxob,5
2026-01-17T01:58:02.529000+00:00,shan,anon,mai,2,akil,eri,rxob,5
2026-01-17T02:09:56.762000+00:00,shan,akil,stella,4,kami,aster,mai,5
2026-01-17T02:21:32.868000+00:00,shan,akil,stella,5,aster,rxob,mai,4
2026-01-17T02:27:06.415000+00:00,shan,anon,stella,5,aster,rxob,katie,3
2026-01-17T02:32:06.251000+00:00,shan,anon,katie,5,aster,rxob,stella,2
2026-01-17T02:40:46.205000+00:00,shan,mai,katie,2,aster,akil,rxob,5
2026-01-17T02:40:46.205000+00:00,shan,mai,katie,5,aster,akil,rxob,3
2026-01-17T02:47:11.937000+00:00,shan,stella,mai,3,akil,aster,anon,5
2026-01-17T02:47:11.937000+00:00,shan,stella,mai,0,akil,aster,anon,5
2026-01-17T02:54:32.268000+00:00,shan,stella,mai,5,rxob,aster,katie,1
2026-01-17T03:03:45.519000+00:00,shan,kaiferno,mai,5,aster,rxob,katie,4
2026-01-17T03:13:04.056000+00:00,shan,kaiferno,katie,4,aster,rxob,mai,5
2026-01-17T03:18:47.489000+00:00,shan,kaiferno,nae,5,rxob,jinsye,mai,3
2026-01-17T03:18:47.489000+00:00,shan,kaiferno,nae,5,rxob,jinsye,mai,1
2026-01-17T05:41:09.425000+00:00,akil,jinsye,toph,5,kami,ella,pikeman,4
2026-01-17T05:41:09.425000+00:00,akil,jinsye,toph,5,kami,ella,pikeman,4
2026-01-17T05:57:57.887000+00:00,pikeman,kaiferno,ash,5,kami,toph,akil,4
2026-01-17T06:03:00.198000+00:00,pikeman,jinsye,ash,3,akil,ella,toph,5
2026-01-17T06:03:00.198000+00:00,pikeman,jinsye,ash,3,akil,ella,toph,5
2026-01-17T06:12:20.779000+00:00,pikeman,toph,ash,5,kami,jinsye,akil,2
2026-01-17T17:47:52.243000+00:00,kami,anon,rxob,3,aster,neptune,wraith,5
2026-01-17T18:01:09.494000+00:00,kami,anon,rxob,1,aster,ash,wraith,5
2026-01-17T18:10:43.210000+00:00,kami,anon,rxob,1,aster,pikeman,ash,5
2026-01-17T18:38:07.330000+00:00,rxob,baps,kami,3,aster,pikeman,ash,5
2026-01-17T18:38:07.330000+00:00,rxob,baps,kami,5,aster,pikeman,ash,2
2026-01-17T18:38:07.330000+00:00,rxob,baps,kami,5,aster,pikeman,ash,1
2026-01-17T18:38:07.330000+00:00,rxob,baps,kami,5,aster,pikeman,ash,3
2026-01-17T18:38:07.330000+00:00,rxob,baps,kami,4,aster,pikeman,ash,5
2026-01-17T18:40:18.147000+00:00,baps,wraith,anon,5,rxob,pikeman,aster,0
2026-01-18T02:40:25.144000+00:00,rxob,popop,jinsye,5,kami,pikeman,mai,1
2026-01-18T02:47:58.418000+00:00,rxob,popop,toph,5,kami,pikeman,mai,2
2026-01-18T02:52:47.337000+00:00,rxob,toph,jinsye,5,jib,pikeman,mai,3
2026-01-18T02:56:42.809000+00:00,rxob,kami,popop,5,jib,jinsye,pikeman,0
2026-01-18T02:56:42.809000+00:00,rxob,kami,popop,0,jib,jinsye,pikeman,5
2026-01-18T02:56:42.809000+00:00,rxob,kami,popop,3,jib,jinsye,pikeman,5
2026-01-18T03:10:43.946000+00:00,jib,pikeman,kaiferno,0,kami,jinsye,akil,5
2026-01-18T03:10:43.946000+00:00,jib,pikeman,kaiferno,5,kami,jinsye,akil,2
2026-01-19T00:40:56.822000+00:00,shan,ella,hawk,2,pikeman,popop,eri,5
2026-01-19T00:40:56.822000+00:00,shan,ella,hawk,5,pikeman,popop,eri,2
2026-01-19T00:52:28.859000+00:00,akil,shan,eri,2,pikeman,ella,hawk,5
2026-01-19T00:52:28.859000+00:00,akil,shan,eri,5,pikeman,ella,hawk,1
2026-01-19T01:00:45.442000+00:00,pikeman,ella,akil,5,shan,popop,nae,3
2026-01-19T01:05:31.301000+00:00,shan,eri,nae,5,akil,pikeman,hawk,2
2026-01-19T01:44:34.077000+00:00,shan,hawk,saber,1,akil,toph,stella,5
2026-01-19T01:44:34.077000+00:00,shan,hawk,saber,2,akil,toph,stella,5
2026-01-19T01:58:32.167000+00:00,pikeman,shan,stella,5,akil,toph,hawk,3
2026-01-19T01:58:32.167000+00:00,pikeman,shan,stella,5,akil,toph,hawk,4
2026-01-19T05:21:27.535000+00:00,shan,kaiferno,katie,5,kami,pikeman,jib,4
2026-01-19T05:23:53.156000+00:00,jib,ella,kami,5,pikeman,kaiferno,katie,4
2026-01-19T05:43:09.275000+00:00,jib,ella,anon,5,shan,kaiferno,kami,4
2026-01-19T05:43:09.275000+00:00,jib,ella,anon,3,shan,kaiferno,kami,5
2026-01-19T05:56:06.903000+00:00,kami,kaiferno,jib,5,pikeman,ella,anon,3
2026-01-19T06:11:14.461000+00:00,gentle,shan,jib,5,pikeman,ella,anon,4
