timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-08-21T18:39:04.027000+00:00,popop,jinsye,anon,3,shan,hawk,nae,5
2026-08-21T18:44:42.975000+00:00,popop,jinsye,anon,2,shan,hawk,nae,5
2026-08-21T18:50:07.784000+00:00,popop,jinsye,hawk,4,shan,kami,nae,5
2026-08-21T23:12:03.535000+00:00,shan,popop,stella,0,aster,jib,anon,5
2026-08-21T23:12:04.960000+00:00,shan,popop,stella,3,aster,jib,anon,5
2026-08-21T23:20:50.232000+00:00,aster,popop,anon,5,shan,jib,stella,0
2026-08-21T23:20:54.623000+00:00,aster,popop,anon,5,jib,shan,stella,3
2026-08-21T23:39:31.621000+00:00,popop,aster,anon,4,jib,shan,akil,5
2026-08-21T23:39:36.128000+00:00,aster,popop,anon,4,jib,shan,akil,5
2026-08-27T00:34:02.609000+00:00,aster,gentle,retro,5,shan,jib,akil,4
2026-08-27T00:34:08.518000+00:00,aster,gentle,retro,5,jib,shan,akil,2
2026-08-27T00:55:21.338000+00:00,aster,gentle,retro,4,shan,jib,kami,5
2026-08-27T00:55:25.325000+00:00,aster,gentle,retro,4,jib,shan,kami,5
2026-08-27T00:55:31.832000+00:00,aster,gentle,retro,3,kami,shan,jib,5
2026-08-27T01:16:31.865000+00:00,aster,jib,kami,5,retro,gentle,shan,3
2026-08-27T01:16:49.051000+00:00,jib,aster,kami,5,shan,gentle,retro,1
2026-08-27T01:17:23.060000+00:00,jib,aster,e,5,gentle,shan,retro,2
2026-08-27T01:27:43.172000+00:00,jib,aster,retro,2,shan,kami,e,5
2026-08-27T01:27:44.855000+00:00,jib,aster,retro,5,shan,kami,e,1
2026-08-27T01:38:27.861000+00:00,kami,aster,shan,5,jib,gentle,retro,4
2026-08-27T01:38:28.911000+00:00,kami,aster,shan,5,jib,gentle,retro,1
2026-08-27T01:50:05.018000+00:00,jib,gentle,kami,5,shan,aster,retro,2
2026-08-27T01:50:06.323000+00:00,jib,gentle,kami,4,shan,aster,retro,5
2026-08-27T01:53:36.468000+00:00,jib,gentle,kami,5,shan,aster,retro,0
2026-08-28T07:55:58.396000+00:00,popop,kami,stella,4,nae,shan,,5
2026-08-28T08:04:15.649000+00:00,popop,kami,stella,5,nae,shan,,4
2026-08-31T05:19:32.405000+00:00,jib,aster,stella,2,shan,ash,rob,5
2026-08-31T05:28:55.991000+00:00,jib,aster,stella,3,shan,ash,rob,5
2026-08-31T05:33:29.991000+00:00,jib,ash,rob,4,shan,aster,stella,5
2026-08-31T05:38:14.226000+00:00,jib,hawk,ash,2,shan,aster,rob,5
2026-08-31T05:42:40.088000+00:00,jib,aster,rob,2,shan,hawk,ash,5
2026-08-31T05:45:38.391000+00:00,aster,jib,rob,5,shan,hawk,ash,1
2026-08-31T05:58:47.620000+00:00,jib,hawk,rob,5,shan,aster,stella,3
2026-08-31T05:58:49.500000+00:00,jib,hawk,rob,5,shan,aster,stella,3
2026-08-31T08:03:05.688000+00:00,kami,hawk,mebo,5,shan,ash,stella,3
2026-08-31T08:38:24.732000+00:00,kami,hawk,sorb,3,shan,ash,stella,5
2026-08-31T09:10:08.593000+00:00,kami,hawk,katie,1,shan,wraith,sorb,5
2026-08-31T09:14:44.420000+00:00,kami,hawk,stella,5,shan,wraith,mebo,3
2026-08-31T10:02:52.342000+00:00,rob,ash,nae,4,kami,stella,katie,5
2026-08-31T10:13:34.654000+00:00,rob,ash,nae,5,kami,stella,katie,3
2026-08-31T10:45:06.637000+00:00,rob,ash,nae,5,kami,stella,katie,1
