timestamp,team1_name1,team1_name2,team1_name3,score1,team2_name1,team2_name2,team2_name3,score2
2026-02-02T18:05:23.632000+00:00,pikeman,nae,wraith,5,gentle,ash,neptune,0
2026-02-02T18:10:45.433000+00:00,gentle,nae,ash,1,aster,neptune,hawk,5
2026-02-02T18:17:43.273000+00:00,jib,nae,ash,4,aster,neptune,hawk,5
2026-02-02T18:25:28.117000+00:00,jib,nae,neptune,3,aster,pikeman,ash,5
2026-02-02T18:30:47.083000+00:00,jib,nae,ash,3,aster,neptune,hawk,5
2026-02-02T18:35:34.723000+00:00,jib,kami,neptune,0,aster,pikeman,nae,5
2026-02-02T18:42:02.912000+00:00,kami,ash,hawk,4,aster,nae,eri,5
2026-02-02T18:50:58.152000+00:00,pikeman,ash,hawk,5,aster,popop,nae,2
2026-02-02T19:02:04.118000+00:00,popop,hawk,rxob,1,aster,eri,ash,5
2026-02-02T23:39:31.567000+00:00,jib,hawk,mai,4,kami,ella,aster,5
2026-02-02T23:45:32.471000+00:00,jib,hawk,mai,5,kami,aster,wraith,2
2026-02-02T23:59:48.139000+00:00,shan,baps,mai,5,jib,ella,hawk,2
2026-02-03T00:10:37.241000+00:00,shan,baps,mai,5,jib,ella,hawk,1
2026-02-03T00:14:36.274000+00:00,shan,baps,hawk,5,jib,ella,mai,1
2026-02-03T00:23:41.545000+00:00,shan,baps,mai,3,kami,ella,hawk,5
2026-02-03T00:48:03.228000+00:00,shan,kaiferno,mai,2,kami,ella,hawk,5
2026-02-03T00:48:04.698000+00:00,shan,kaiferno,mai,1,kami,ella,hawk,5
2026-02-03T00:48:05.425000+00:00,shan,kaiferno,mai,1,kami,ella,hawk,5
2026-02-03T00:48:09.625000+00:00,shan,kaiferno,mai,5,kami,ella,hawk,2
2026-02-03T02:54:24.495000+00:00,pikeman,shan,akil,5,kami,ella,hawk,1
2026-02-03T02:54:25.690000+00:00,pikeman,shan,akil,4,kami,ella,hawk,5
2026-02-03T02:54:26.276000+00:00,pikeman,shan,akil,5,kami,ella,hawk,4
2026-02-03T02:58:51.536000+00:00,shan,kaiferno,jinsye,5,pikeman,ella,hawk,3
2026-02-03T03:08:50.896000+00:00,jib,kaiferno,jinsye,4,pikeman,ella,hawk,5
2026-02-03T03:15:44.842000+00:00,jib,kaiferno,jinsye,4,pikeman,ella,hawk,5
2026-02-03T03:25:09.345000+00:00,shan,kaiferno,jinsye,5,jib,toph,ella,0
2026-02-03T03:25:15.280000+00:00,shan,kaiferno,jinsye,5,pikeman,toph,ella,1
2026-02-03T03:30:13.866000+00:00,shan,kaiferno,hawk,5,pikeman,toph,ella,4
2026-02-03T03:35:19.402000+00:00,jib,hawk,jinsye,0,pikeman,toph,ella,5
2026-02-03T05:46:27.501000+00:00,shan ,ella,jinsye,5,jib,hawk,kami,2
2026-02-03T13:42:36.409000+00:00,gentle,katie,nae,5,neptune,ella,stella,3
2026-02-03T13:58:59.280000+00:00,neptune,gentle,wraith,5,baps,ella,stella,1
2026-02-03T14:05:16.120000+00:00,neptune,gentle,wraith,5,baps,ella,katie,2
2026-02-03T14:09:22.271000+00:00,neptune,gentle,ella,5,baps,wraith,katie,1
2026-02-03T14:38:27.646000+00:00,gentle,popop,ash,5,baps,wraith,neptune,3
2026-02-03T14:38:29.349000+00:00,gentle,popop,ash,5,baps,wraith,neptune,2
2026-02-03T14:38:30.942000+00:00,gentle,popop,ash,5,baps,wraith,neptune,4
2026-02-03T14:42:38.181000+00:00,gentle,popop,ash,5,baps,wraith,neptune,1
2026-02-03T14:49:21.949000+00:00,gentle,popop,ash,4,baps,wraith,neptune,5
2026-02-03T14:55:07.266000+00:00,gentle,popop,ash,2,baps,wraith,neptune,5
2026-02-03T19:43:32.398000+00:00,baps,wraith,akil,4,gentle,ella,kami,5
2026-02-03T19:50:29.330000+00:00,baps,wraith,akil,5,gentle,kami,hawk,2
2026-02-03T19:57:30.473000+00:00,akil,baps,wraith,3,kami,gentle,hawk,5
2026-02-03T20:06:52.855000+00:00,baps,ella,hawk,3,gentle,wraith,anon,5
2026-02-03T20:12:15.692000+00:00,baps,ella,hawk,3,gentle,wraith,anon,5
2026-02-03T20:18:31.283000+00:00,baps,ella,anon,4,gentle,wraith,hawk,5
2026-02-04T03:23:59.218000+00:00,jib,rxob,akil,5,kami,kaiferno,mai,1
2026-02-04T03:27:05.905000+00:00,jib,rxob,akil,5,kami,kaiferno,mai,2
2026-02-04T03:33:54.206000+00:00,jib,rxob,akil,5,kami,kaiferno,nae,3
2026-02-04T15:14:02.691000+00:00,baps,pikeman,ella,5,gentle,popop,katie,2
2026-02-04T15:14:03.730000+00:00,baps,pikeman,ella,5,gentle,popop,katie,2
2026-02-04T15:23:32.672000+00:00,baps,pikeman,ella,5,gentle,popop,katie,4
2026-02-04T15:29:20.826000+00:00,baps,pikeman,ella,5,gentle,popop,katie,4
2026-02-04T15:34:04.114000+00:00,kami,pikeman,ella,4,gentle,popop,katie,5
2026-02-04T15:41:36.233000+00:00,kami,pikeman,ella,3,gentle,popop,katie,5
2026-02-04T16:02:36.351000+00:00,gentle,baps,nae,4,neptune,pikeman,ella,5
2026-02-04T16:03:07.744000+00:00,gentle,baps,nae,3,pikeman,ella,ash,5
2026-02-04T16:03:09.041000+00:00,gentle,baps,nae,3,pikeman,ella,ash,5
2026-02-04T16:03:09.684000+00:00,gentle,baps,nae,3,pikeman,ella,ash,5
2026-02-04T16:16:23.598000+00:00,gentle,popop,katie,0,pikeman,ella,hawk,5
2026-02-04T16:16:24.713000+00:00,gentle,popop,katie,4,pikeman,ella,hawk,5
