timestamp,GK,team1_name2,team1_name3,score1,GK.1,S1,S2,score2
2026-09-10T23:39:40.332000+00:00,jib,wraith,rxob,5,shan,aster,ash,3
2026-09-10T23:39:42.096000+00:00,jib,wraith,rxob,2,shan,aster,ash,5
2026-09-10T23:51:30.533000+00:00,jib,anon,rob,2,aster,shan,ash,5
2026-09-10T23:59:18.946000+00:00,jib,anon,rob,4,aster,shan,ash,5
2026-09-16T18:33:09.661000+00:00,popop,baps,ash,5,gentle,nae,shan,4
2026-09-16T18:33:10.151000+00:00,popop,baps,ash,5,gentle,nae,shan,2
2026-09-16T18:46:43.742000+00:00,popop,baps,ash,5,shan,gentle,anon,1
2026-09-16T18:46:44.228000+00:00,popop,baps,ash,1,shan,gentle,anon,5
2026-09-16T18:46:45.211000+00:00,popop,baps,ash,4,shan,gentle,anon,5
2026-09-18T18:29:09.039000+00:00,shan,wraith,anon,5,popop,jib,ash,4
2026-09-18T18:29:10.019000+00:00,shan,wraith,anon,2,popop,jib,ash,5
2026-09-18T18:57:55.161000+00:00,kami,pike,anon,2,shan,popop,ash,5
2026-09-18T18:57:55.997000+00:00,kami,pike,anon,5,shan,popop,ash,3
2026-09-18T19:05:57.586000+00:00,kami,pike,anon,2,shan,popop,ash,5
2026-09-18T19:24:58.374000+00:00,kami,popop,anon,3,shan,pike,ash,5
2026-09-18T19:24:58.842000+00:00,kami,popop,anon,5,shan,pike,ash,3
2026-09-18T19:25:00.786000+00:00,kami,popop,anon,5,shan,pike,ash,1
2026-09-18T19:40:34.466000+00:00,popop,kami,anon,2,pike,shan,ash,5
2026-09-18T19:40:35.744000+00:00,popop,kami,anon,4,pike,shan,ash,5
2026-09-18T19:50:38.322000+00:00,kami,pike,ash,5,popop,shan,anon,3
2026-09-18T19:50:39.280000+00:00,kami,pike,ash,5,popop,shan,anon,0
2026-09-20T21:56:38.170000+00:00,shan,anon,akil,2,kami,wraith,afut,5
2026-09-20T21:56:39.242000+00:00,shan,anon,akil,5,kami,wraith,afut,2
2026-09-20T21:56:39.924000+00:00,shan,anon,akil,5,kami,wraith,afut,4
2026-09-20T22:07:59.495000+00:00,kami,anon,akil,5,shan,wraith,afut,3
2026-09-20T22:07:59.830000+00:00,kami,anon,akil,5,shan,wraith,afut,3
2026-09-21T18:10:51.351000+00:00,wraith,hawk,ash,1,pops,baps,nae,5
2026-09-21T18:16:41.220000+00:00,wraith,hawk,ash,5,pops,baps,nae,1
2026-09-22T20:25:36.144000+00:00,kami,anon,ash,5,jib,wraith,afut,2
2026-09-22T20:31:48.013000+00:00,kami,anon,ash,5,jib,wraith,afut,4
2026-09-22T20:38:01.979000+00:00,jib,anon,ash,4,kami,wraith,afut,5
2026-09-22T20:43:36.398000+00:00,jib,anon,ash,5,kami,wraith,afut,3
2026-09-22T20:51:56.068000+00:00,jib,anon,ash,4,kami,aster,afut,5
2026-09-22T20:54:47.447000+00:00,jib,anon,ash,5,kami,aster,afut,0
2026-09-22T20:58:54.112000+00:00,jib,anon,ash,5,kami,aster,afut,1
2026-09-22T21:04:01.474000+00:00,kami,anon,afut,5,jib,aster,ash,4
2026-09-22T21:07:08.493000+00:00,kami,anon,afut,1,jib,aster,ash,5
2026-09-22T21:10:13.537000+00:00,kami,anon,afut,0,jib,aster,ash,5
2026-09-23T23:00:30.405000+00:00,jib,aster,wraith,5,shan,popop,akil,2
2026-09-23T23:00:31.818000+00:00,jib,aster,wraith,5,shan,popop,akil,3
2026-09-23T23:12:32.047000+00:00,jib,wraith,akil,5,pike,popop,aster,4
2026-09-23T23:12:32.593000+00:00,jib,wraith,akil,5,pike,popop,aster,1
2026-09-23T23:17:43.451000+00:00,jib,wraith,akil,4,pike,popop,aster,5
2026-09-23T23:22:31.395000+00:00,jib,wraith,akil,5,pike,popop,aster,2
2026-09-24T05:06:40.522000+00:00,jib,popop,anon,2,shan,gentle,anon,5
2026-09-24T05:06:41.910000+00:00,jib,popop,anon,4,shan,gentle,anon,5
2026-09-24T05:40:56.888000+00:00,gentle,popop,anon,5,shan,jib,kami,3
2026-09-24T05:42:30.169000+00:00,jib,gentle,anon,5,shan,popop,kami,2
2026-09-24T05:42:31.235000+00:00,jib,gentle,anon,5,shan,popop,kami,4
2026-09-24T19:45:44.663000+00:00,kami,eri,afut,0,aster,ash,popop,5
2026-09-24T19:50:03.762000+00:00,kami,eri,afut,0,aster,ash,popop,5
2026-09-24T19:56:33.603000+00:00,kami,anon,eri,3,aster,hawk,ash,5
2026-09-24T20:02:13.325000+00:00,kami,anon,eri,5,aster,hawk,ash,3
2026-09-24T20:07:08.992000+00:00,kami,anon,eri,3,aster,hawk,ash,5
2026-09-24T20:14:41.602000+00:00,kami,anon,popop,3,aster,eri,hawk,5
2026-09-24T20:19:38.547000+00:00,kami,anon,popop,1,aster,eri,hawk,5
2026-09-24T20:25:55.853000+00:00,popop,anon,ash,4,aster,eri,hawk,5
2026-09-25T02:37:39.293000+00:00,kami,danny,moist,2,jib,afut,aster,5
2026-09-25T02:45:21.550000+00:00,kami,danny,moist,4,jib,afut,aster,5
2026-09-25T03:02:42.425000+00:00,pike,danny,moist,4,aki,aster,afut,5
2026-09-25T03:02:54.087000+00:00,pike,danny,moist,1,aster,aki,afut,5
2026-09-25T03:12:50.710000+00:00,afut,pike,stella,4,akibakabaka,shan12,moistehlarp,5
2026-09-25T03:12:50.710000+00:00,afut,pike,stella,1,akibakabaka,shan12,moistehlarp,5
2026-09-25T03:28:21.603000+00:00,afut,pike,aster,5,s12,kamismile,moisteh,4
2026-09-25T04:07:03.039000+00:00,kami,anon,akil,5,popop,shan,stella,3
2026-09-25T04:14:30.802000+00:00,kami,anon,akil,2,popop,shan,stella,5
2026-09-25T04:24:39.030000+00:00,kami,anon,akil,4,popop,shan,stella,5
